Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
53,45,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,Cray Inc.,India,2018,Research,119232,,3763.94,4006.195,5935104,,,1353.23,Submitted,2.781,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50296,179416
54,,53,54,,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",SAKURA Internet Inc. / Prunus Solutions Inc.,HPE,Japan,2019,Industry,65208,61440,3712,5365.0944,1769472,,87.12,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,2700,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,Apollo 6500 XL270d Gen10,HP Apollo,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50809,179696
55,52,52,52,Joule 2.0,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",DOE/National Energy Technology Laboratory,HPE,United States,2018,Research,86400,11200,3608.62,5750.784,4049664,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla P100,20,Xeon Gold,HP ProLiant XL170r/XL190r/DL360 Gen10,HP Cluster,Omnipath,Intel Omni-Path,North America,Americas,50452,179599
56,47,44,10,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2014,Government,72800,62400,3577,6131.84,2336000,,,1498.9,Submitted,2.386,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas,50046,178445
57,46,45,13,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2015,Government,72800,62400,3577,6131.84,2336000,,,1498.9,Submitted,2.386,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas,50046,178519
58,48,49,29,ONYX,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2699v4, Aries interconnect ",ERDC DSRC,Cray Inc.,United States,2017,Research,160304,,3409.61,5865.5232,3388608,,,,,,MPP,Intel Xeon Phi 7230 64C 1.3GHz,Intel Xeon Phi,1300,Cray Linux Environment ,Linux,None,64,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,47771,179100
59,49,45,15,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,HPE,United States,2015,Research,124200,,3318.95,4570.56,5779200,,,5175,Derived,0.641,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,47771,178523
60,50,49,31,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,60512,55552,3307,4896.512,1419545,,,349.5,Submitted,9.462,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,Americas,50701,179068
61,51,48,28,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Industry,60512,55552,3307,4896.512,1419552,,67.422,349.5,Submitted,9.462,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu 14.04,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,Americas,48448,178928
62,,53,62,Orion,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",Mississippi State University,Dell EMC,United States,2019,Academic,67240,,3290.6,4733.69,4196736,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,North America,Americas,48371,179690
63,53,51,47,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Bull,United Kingdom,2017,Research,113832,,3243.41,3791.5776,5543424,,,1134,Submitted,2.86,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),Bull Sequana X1000,Bull Sequana,Infiniband,Infiniband EDR,Northern Europe,Europe,47363,179409
64,54,51,48,Mustang,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Air Force Research Laboratory,HPE,United States,2018,Government,55296,,3221.4,4777.574,4866048,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,Xeon Platinum,HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,Americas,49284,179426
65,55,43,11,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Eni S.p.A.,IBM,Italy,2014,Industry,72000,42000,3188,4605,3978240,,48.9,1227,Submitted,2.598,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe,50489,178425
66,56,45,52,SORA-MA,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",Japan Aerospace eXploration Agency,Fujitsu,Japan,2015,Research,110160,,3157,3481.056,3350880,,110.162,1652.4,Derived,1.911,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,50187,178554
67,57,43,10,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Government,Cray Inc.,United States,2014,Government,225984,,3143.52,4881.2544,2541684,,,6327.55,Derived,0.497,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,50046,178432
68,58,45,18,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",Air Force Research Laboratory,HPE,United States,2015,Government,152692,27056,3126.24,5610.481,5572800,,,4819.5,Derived,0.649,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,49284,178524
69,59,51,53,Niagara,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,60000,,3074.19,4608,5495040,,,676.3,Submitted,4.546,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,North America,Americas,50206,179408
70,60,48,33,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,Japan,2016,Academic,122400,,3057.35,5483.52,4579680,,,748.1,Submitted,4.087,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50516,178927
71,61,52,61,Circe,"NVIDIA DGX-2H POD, Xeon Platinum 8174 24C 3.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",NVIDIA Corporation,Nvidia,United States,2018,Industry,47808,46080,3057,4241.448,1543680,,199.196,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,Linux,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Platinum,NVIDIA DGX-2H Pod,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,Americas,48448,179564
72,,53,72,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,61120,,3054.35,4867.2,5598720,,52.571,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.6,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Western Europe,Europe,50403,179699
73,62,45,55,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",DKRZ - Deutsches Klimarechenzentrum,Bull,Germany,2015,Research,99072,,3010.68,3962.88,4437696,,44.106,1116,Submitted,2.698,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,47642,178567
74,423,52,423,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",National Supercomputer Centre (NSC),ClusterVision / Hammer,Sweden,2018,Academic,64512,,2969.19,4335.206,4160256,,65.241,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Intel H2204XXLRE,ClusterVision / Hammer Cluster,Omnipath,Intel Omni-Path,Northern Europe,Europe,48488,179576
75,63,46,21,,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2","Information Technology Center, Nagoya University",Fujitsu,Japan,2015,Academic,92160,,2910,3244.032,3061760,,86.534,1382.4,Derived,2.105,Cluster,SPARC64 XIfx 32C 2.2GHz,Sparc,2200,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,50495,178646
76,64,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM/Lenovo,Germany,2012,Academic,147456,,2897,3185.05,5201920,,83.3,3422.67,Submitted,0.846,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe,48248,177719
77,65,45,20,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,,2813.62,3578.266,4423680,,,1480.83,Submitted,1.9,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Western Europe,Europe,48248,178544
78,66,47,29,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray Inc.,United Kingdom,2016,Research,89856,,2801.782,3019.162,,,,1347.84,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,49064,178751
79,67,47,30,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray Inc.,United Kingdom,2016,Research,89856,,2801.782,3019.162,,,,1347.84,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,49064,178752
80,68,51,61,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Cray Inc.,Japan,2018,Research,54560,,2787.14,4190.208,5412096,,,697.51,Submitted,3.996,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50767,179417
81,69,42,11,TSUBAME 2.5,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology",NEC/HPE,Japan,2013,Academic,76032,59136,2785,5735.68512,1700000,,72.525,1398.61,Submitted,1.991,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia,47912,178249
82,,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,37920,,2726.0779,3761.664,3385000,,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Western Europe,Europe,50345,179697
83,70,48,42,LLNL/NNSA CTS-1 Jade,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,95472,,2632.51,3207.8592,5601024,,,13620,Submitted,0.193,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas,48247,178969
84,71,48,41,LLNL CTS-1 Quartz,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,95472,,2632.51,3207.8592,5601024,,,13620,Submitted,0.193,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas,48247,178971
85,72,49,47,HPC3,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80",Energy Company (A),Lenovo,Italy,2017,Industry,66000,39000,2592,3798.6,3184896,,,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,NVIDIA Tesla K80,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,Southern Europe,Europe,49438,179071
86,73,51,66,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",National Centre for Medium Range Weather Forecasting,Cray Inc.,India,2018,Research,83592,,2570.4,2808.691,3349440,,,954.73,Submitted,2.692,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50235,179418
87,74,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566,4701,3600000,1000000,,4040,Submitted,0.635,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia,50310,176929
88,75,51,68,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,50816,2688,2547,4229.8496,5498000,,,710,Submitted,3.587,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47551,179440
89,76,42,13,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa,United States,2013,Research,194616,171720,2539.13,3388.032,4032000,,,1384,Submitted,1.835,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas,48611,178250
90,77,49,50,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Bull,France,2016,Academic,85824,,2494.65,3570.278,3889152,,45.475,1430,Submitted,1.745,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50203,179092
91,78,44,19,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray Inc.,United States,2014,Government,100064,,2485,3682.3552,6441408,,,1465.78,Derived,1.695,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,50423,178447
92,,53,92,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,61200,,2483.58,4112.64,2937600,,,692.05,Submitted,3.589,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,50675,179682
93,79,43,129,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,64384,40960,2478,4946.79,1462272,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe,50104,178444
94,,53,94,B1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,60000,,2462.4,4800,5366400,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179658
95,80,49,52,Centennial,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",US Army Research Laboratory (ARL),HPE,United States,2017,Research,73920,,2443.7,2601.984,5127360,,,835,Submitted,2.927,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,RHEL 7.2,Linux,None,20,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,Americas,49039,179105
96,81,51,74,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",China Meteorological Administration,Sugon,China,2017,Research,48128,,2435,4004.25,5572000,,,740,Submitted,3.291,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,Linux,Linux,None,16,Xeon Gold,Sugon TC4600,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47551,179425
97,,53,97,C1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,59200,,2433.83,4736,5330688,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179657
98,,53,98,D1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,58800,,2421.62,4704,5312640,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179656
99,82,46,28,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,,2395.68,2895.36,6661248,,,1359.38,Derived,1.762,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48217,178611
100,83,46,29,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,,2395.68,2895.36,6661248,,,1359.38,Derived,1.762,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48217,178612
101,,53,101,E1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,58000,,2392.38,4640,5276544,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179655
102,84,45,26,Plasma Simulator,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",National Institute for Fusion Science (NIFS),Fujitsu,Japan,2015,Research,82944,,2376,2621.03,2860416,,73.213,1244.16,Derived,1.91,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,48476,178553
103,85,51,78,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,Dell EMC,Saudi Arabia,2018,Industry,53300,,2322.46,3581.76,4171000,,,608,Submitted,3.82,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Western Asia,Asia,48751,179437
104,,53,104,F1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,56000,,2317.95,4480,5184768,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179654
105,86,51,79,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2017,Industry,55104,52480,2287,4890,1049000,,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50759,179386
106,,53,106,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,Dell EMC,Canada,2019,Academic,72480,55040,2278,7494.784,2959104,790272,,240,Submitted,9.492,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold,Dell EMC PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas,50800,179605
107,87,52,87,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2018,Academic,50176,,2271.38,2688,3928320,,,530,Submitted,4.286,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,2600,Scientific Linux,Linux,None,16,Xeon Gold,PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Northern Europe,Europe,49143,179577
